CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
CHLD 223435 30.117188 1673151204.4251
CHLD 223436 30.117188 1673151204.4251
CHLD 223437 30.117188 1673151204.4252
MEM 37.851562 1673151204.5261
CHLD 223434 30.015625 1673151204.5333
CHLD 223435 30.117188 1673151204.5333
CHLD 223436 30.117188 1673151204.5333
CHLD 223437 30.117188 1673151204.5333
MEM 37.851562 1673151204.6343
CHLD 223434 30.015625 1673151204.6498
CHLD 223435 30.117188 1673151204.6499
CHLD 223436 30.117188 1673151204.6499
CHLD 223437 30.117188 1673151204.6500
MEM 37.851562 1673151204.7509
CHLD 223434 30.015625 1673151204.7578
CHLD 223435 30.117188 1673151204.7578
CHLD 223436 30.117188 1673151204.7578
CHLD 223437 30.117188 1673151204.7578
MEM 37.851562 1673151204.8585
CHLD 223434 30.015625 1673151204.8659
CHLD 223435 30.117188 1673151204.8660
CHLD 223436 30.117188 1673151204.8660
CHLD 223437 30.117188 1673151204.8660
MEM 37.851562 1673151204.9665
CHLD 223434 30.015625 1673151204.9728
CHLD 223435 30.117188 1673151204.9728
CHLD 223436 30.117188 1673151204.9729
CHLD 223437 30.117188 1673151204.9729
MEM 37.851562 1673151205.0738
CHLD 223434 30.015625 1673151205.0894
CHLD 223435 30.117188 1673151205.0895
CHLD 223436 30.117188 1673151205.0895
CHLD 223437 30.117188 1673151205.0896
MEM 37.851562 1673151205.1905
CHLD 223434 30.015625 1673151205.2058
CHLD 223435 30.117188 1673151205.2058
CHLD 223436 30.117188 1673151205.2059
CHLD 223437 30.117188 1673151205.2059
MEM 37.851562 1673151205.3068
CHLD 223434 30.015625 1673151205.3150
CHLD 223435 30.117188 1673151205.3151
CHLD 223436 30.117188 1673151205.3151
CHLD 223437 30.117188 1673151205.3151
MEM 37.851562 1673151205.4158
CHLD 223434 30.015625 1673151205.4236
CHLD 223435 30.117188 1673151205.4236
CHLD 223436 30.117188 1673151205.4236
CHLD 223437 30.117188 1673151205.4236
MEM 37.851562 1673151205.5246
CHLD 223434 30.015625 1673151205.5318
CHLD 223435 30.117188 1673151205.5318
CHLD 223436 30.117188 1673151205.5318
CHLD 223437 30.117188 1673151205.5318
MEM 37.851562 1673151205.6328
CHLD 223434 30.015625 1673151205.6483
CHLD 223435 30.117188 1673151205.6484
