CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
CHLD 224405 30.156250 1673151444.7573
MEM 160.367188 1673151444.8714
CHLD 224402 30.140625 1673151444.8838
CHLD 224403 31.992188 1673151444.8839
CHLD 224404 30.156250 1673151444.8839
CHLD 224405 30.156250 1673151444.8840
MEM 160.367188 1673151444.9984
CHLD 224402 30.140625 1673151445.0110
CHLD 224403 31.992188 1673151445.0110
CHLD 224404 30.156250 1673151445.0111
CHLD 224405 30.156250 1673151445.0111
MEM 160.367188 1673151445.1254
CHLD 224402 30.140625 1673151445.1379
CHLD 224403 31.992188 1673151445.1379
CHLD 224404 30.156250 1673151445.1380
CHLD 224405 30.156250 1673151445.1380
MEM 160.367188 1673151445.2525
CHLD 224402 30.140625 1673151445.2650
CHLD 224403 31.992188 1673151445.2651
CHLD 224404 30.156250 1673151445.2651
CHLD 224405 30.156250 1673151445.2652
MEM 160.367188 1673151445.3794
CHLD 224402 30.140625 1673151445.3917
CHLD 224403 31.992188 1673151445.3918
CHLD 224404 30.156250 1673151445.3918
CHLD 224405 30.156250 1673151445.3918
MEM 160.367188 1673151445.5060
CHLD 224402 30.140625 1673151445.5184
CHLD 224403 31.992188 1673151445.5185
CHLD 224404 30.156250 1673151445.5185
CHLD 224405 30.156250 1673151445.5186
MEM 160.367188 1673151445.6329
CHLD 224402 30.140625 1673151445.6460
CHLD 224403 31.992188 1673151445.6461
CHLD 224404 30.156250 1673151445.6461
CHLD 224405 30.156250 1673151445.6462
MEM 160.367188 1673151445.7605
CHLD 224402 30.140625 1673151445.7730
CHLD 224403 31.992188 1673151445.7730
CHLD 224404 30.156250 1673151445.7731
CHLD 224405 30.156250 1673151445.7731
MEM 160.367188 1673151445.8809
CHLD 224402 30.140625 1673151445.8866
CHLD 224403 31.992188 1673151445.8866
CHLD 224404 30.156250 1673151445.8867
CHLD 224405 30.156250 1673151445.8867
MEM 160.367188 1673151446.0006
CHLD 224402 30.140625 1673151446.0139
CHLD 224403 31.992188 1673151446.0139
CHLD 224404 30.156250 1673151446.0140
