CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
MEM 1.722656 1673151397.5012
MEM 22.539062 1673151397.6090
MEM 30.996094 1673151397.7175
MEM 66.523438 1673151397.8261
MEM 158.640625 1673151397.9336
MEM 158.800781 1673151398.0425
MEM 158.800781 1673151398.1502
MEM 158.800781 1673151398.2647
MEM 158.800781 1673151398.3810
MEM 158.800781 1673151398.4974
MEM 158.800781 1673151398.6141
MEM 158.800781 1673151398.7307
MEM 158.800781 1673151398.8472
MEM 158.800781 1673151398.9644
MEM 159.000000 1673151399.0807
MEM 159.000000 1673151399.1974
MEM 159.000000 1673151399.3141
MEM 159.000000 1673151399.4308
MEM 159.000000 1673151399.5474
MEM 159.000000 1673151399.6641
MEM 159.000000 1673151399.7807
MEM 159.000000 1673151399.8975
MEM 159.000000 1673151400.0076
MEM 159.000000 1673151400.1239
MEM 159.000000 1673151400.2400
MEM 159.000000 1673151400.3561
MEM 159.000000 1673151400.4705
MEM 159.000000 1673151400.5867
MEM 159.000000 1673151400.7020
MEM 159.000000 1673151400.8177
MEM 159.000000 1673151400.9321
MEM 159.000000 1673151401.0487
MEM 159.000000 1673151401.1653
MEM 159.000000 1673151401.2818
MEM 159.000000 1673151401.3985
MEM 159.000000 1673151401.5152
MEM 159.000000 1673151401.6318
MEM 159.000000 1673151401.7487
MEM 159.000000 1673151401.8654
MEM 159.000000 1673151401.9820
MEM 159.000000 1673151402.0986
MEM 159.406250 1673151402.2070
MEM 160.808594 1673151402.3233
MEM 160.808594 1673151402.4405
MEM 160.808594 1673151402.5573
MEM 160.808594 1673151402.6740
MEM 160.808594 1673151402.7907
MEM 160.808594 1673151402.8986
MEM 160.808594 1673151403.0081
MEM 160.808594 1673151403.1166
MEM 160.808594 1673151403.2254
MEM 160.808594 1673151403.3344
MEM 160.859375 1673151403.4423
MEM 160.859375 1673151403.5512
MEM 160.859375 1673151403.6602
MEM 160.859375 1673151403.7705
MEM 160.859375 1673151403.8788
MEM 160.859375 1673151403.9865
MEM 160.859375 1673151404.0951
MEM 160.859375 1673151404.2032
MEM 160.859375 1673151404.3120
MEM 160.859375 1673151404.4212
